Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
"owl, bird of minerva, bird of night, hooter",nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,baykuş,"Başında, kulak yerinde iki sorgucu bulunan, yırtıcı gece kuşlarının genel adı"
"clean, make clean","make clean by removing dirt, filth, or unwanted substances from","temizlemek, paklamak","Bir şeyi, bir yeri temiz duruma getirmek"
"hunt, run, hunt down, track down",pursue for food or sport (as of wild animals),avlamak,Bir avı diri veya ölü olarak ele geçirmek
water,provide with water,sulamak,"Toprak, bitki, hayvan vb.ne su vermek"
"wash, launder","cleanse with a cleaning agent, such as soap, and water",yıkamak,Su veya başka bir sıvı kullanarak bir şeyi temizlemek
"bread, breadstuff, staff of life",food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,ekmek,"Tahıl unundan yapılmış hamurun fırında, sacda veya tandırda pişirilmesiyle yapılan yiyecek"
gate,a movable barrier in a fence or wall,geçit,"Geçmeye yarayan yer, geçecek yer"
"collar, neckband",a band that fits around the neck and is usually folded over,yaka,"Giysilerin boyna gelen, boynu çeviren bölümü"
"expect, look, await, wait",look forward to the probable occurrence of,"beklemek, beklentide olmak","Bir iş oluncaya, biri gelinceye değin bir yerde kalmak, durmak"
worker,a person who works at a specific occupation,işçi,"Başkasının yararına bedenini, kafa gücünü veya el becerisini kullanarak ücretle çalışan kimse"
"foreign, strange",relating to or originating in or characteristic of another place or part of the world,yabancı,"Başka bir milletten olan, başka devlet uyruğunda olan (kimse)"
"footstep, pace, step, stride",the distance covered by a step,adım,yürümek için yapılan ayak atışlarının her biri
stir,mix or add by stirring,karıştırmak,Bir maddenin başka bir madde içine karışmasını sağlamak.
tooth,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,diş,"Çene kemiklerinin üstüne dizili, ısırıp koparmaya ve çiğnemeye yarayan sert, beyaz organlardan her biri."
"always, ever, e'er",at all times; all the time and on every occasion,"daima, her zaman","Ara vermeden, sürekli olarak"
"never, ne'er",not ever; at no time in the past or future,asla,"Hiçbir zaman, hiçbir şekilde"
comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair,tarak,"açların, sakalın, hayvan tüylerinin karışıklığını gidermeye veya kadınların saçlarını tutturmaya yarayan dişli araç"
"seat, sit, sit down",show to a seat; assign a seat for,oturtmak,Oturma işini yaptırmak
crane,large long-necked wading bird of marshes and plains in many parts of the world,"turna, turna kuşu","Turnagillerden, Avrupa ve Kuzey Afrika'da toplu olarak yaşayan, göçebe, iri bir kuş (Grus grus)"
sometimes,on certain occasions or in certain cases but not always,"bazen, ara sıra, arada bir, yer yer",Seyrek olarak
swim,travel through water,yüzmek,"Kol, bacak, yüzgeç vb. organların özel hareketleriyle su yüzeyinde veya su içinde ilerlemek, durmak"
"stand, stand up",be standing; be upright,"dikilmek, ayakta kalmak, ayakta beklemek",Ayakta durmak
"apparel, wearing apparel, dress, clothes",clothing in general,"giyim, giysi, elbise, kıyafet, giyecek",Her türlü giyim eşyası
lie,"be lying, be prostrate; be in a horizontal position",uzanmak,Boylu boyunca yatmak
dive,swim under water,dalmak,Suyun içine bütün vücuduyla ve hızla girmek
"not, non",negation of a word or group of words,değil, İsim cümlelerini olumsuz yapmak için kullanılan bir söz
"trouser, pant","(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",pantolon,Belden başlayan ve genellikle paçaları ayak bileklerine kadar inen giyecek
"jump, leap, bound, spring",move forward by leaps and bounds,zıplamak,Bir yere çarpıp yukarı fırlamak
"mound, hill",structure consisting of an artificial heap or bank usually of earth or stones,tepe,"Yüksekliği genellikle birkaç yüz metreyi geçmeyen, çok kez tek başına, yamaçları yatık yer biçimi"
mushroom,common name for an edible agaric (contrasting with the inedible toadstool),mantar,"Mantarlardan, içinde zehirlileri de bulunan, silindir bir gövde ve üst tarafı şapka biçiminde olan ilkel canlıların genel adı (Fungi)"
"everywhere, everyplace, all over",to or in any or all places,"her yer, her taraf",tüm bölge
"mother, female parent",a woman who has given birth to a child (also used as a term of address to your mother),"anne, ana",Çocuğu olan kadın
"damage, harm, hurt, scathe",the act of damaging something or someone,"hasar, zarar, ziyan, götürü","Bir şeyin, bir olayın yol açtığı çıkar kaybı veya olumsuz, kötü sonuç"
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,"eşarp, şal, atkı","Başı, omzu veya boynu örtmek için kullanılan kıyafet."
cut,separate with or as if with an instrument,kesmek,"Bıçak, makas vb. bir araçla bir şeyi ikiye ayırmak, parçalamak"
"wave, moving ridge",one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),dalga,"Deniz veya göl gibi geniş su yüzeylerinde genellikle rüzgâr, deprem vb.nin etkisiyle oluşan kıvrımlı hareket"
"teacher, instructor",a person whose occupation is teaching,"öğretmen, eğitmen, hoca",Eğitim ve öğretim veren kimse.
"rise, lift, arise, move up, go up, come up, uprise",move upward,yükselmek,Yükseğe çıkmak
"daughter, girl",a female human offspring,kız,kız çocuk
"horse, equus caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times,"at, beygir, düldül","Atgillerden, binme, yük çekme, taşıma vb. hizmetlerde kullanılan, tek tırnaklı hayvan"
"set, go down, go under",disappear beyond the horizon,batmak,"Güneş, Ay ve yıldız Dünya’nın dönüşü dolayısıyla ufkun altına inmek"
still,"with reference to action or condition; without change, interruption, or cessation","hala, bibi",Babanın kız kardeşi
"tendon, sinew",a cord or band of inelastic tissue connecting a muscle with its bony attachment,"tendon,kiriş","Kasların uçlarında bulunan, kasları kemiklere ve başka organlara bağlayan beyazımsı kordon"
already,prior to a specified or implied time,çoktan,"Çok zaman önce, çok zamandan beri, öteden beri, uzun süreden beri"
"very, really, real, rattling",used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,"oldukça, gerçekten, hayli, epey",olabildiğince
"death, decease, expiry",the event of dying or departure from life,"ölüm, vefat, son",Bir insan hayatının tam ve kesin olarak sona ermesi
eat,take in solid food,yemek,"Yemek yeme, karın doyurma işi"
fall,descend in free fall under the influence of gravity,düşmek,"Yer çekiminin etkisiyle boşlukta, yukarıdan aşağıya inmek"
true,consistent with fact or reality; not false,TRUE,"Akla, mantığa, gerçeğe veya kurala uygun"
"drink, imbibe",take in liquids,içmek,Bir sıvıyı ağza alıp yutmak
"raise, lift, elevate, get up, bring up",raise from a lower to a higher position,"kaldırmak, yükseltmek","""Yükseğe çıkarmak, yukarıda bir noktaya taşımak"""
"aid, assist, assistance, help",the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,yardım etmek,"kendi gücünü, imkânlarını başka birinin iyiliği için kullanmak"
"a bit, a little, a trifle",to a small degree; somewhat,"biraz, birazcık",Yeterli ölçüden daha az veya çok daha az olan.
"ice, water ice",water frozen in the solid state,buz,Donarak katı duruma gelmiş su
saw,cut with a saw,görmek,"Gözle algılamak, seçmek."
"soon, shortly, presently, before long",in the near future,yakında,"Çok geçmeden, yakın zamanda"
"frost, hoar, hoarfrost, rime",ice crystals forming a white deposit (especially on objects outside),kırağı,"Su buğusunun soğuk havalarda, yerde, bitkiler, ağaçlar ve öteki nesneler üzerinde donmasıyla oluşan ince tabaka"
"invite, ask over, ask round",invite someone to one's house," çağırmak, davet etmek",Herhangi birinin bir yere gelmesini istemek
"tongue, lingua, glossa, clapper",a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,dil,"Ağız boşluğunda, tatmaya, yutkunmaya, sesleri boğumlamaya yarayan etli, uzun, hareketli organ"
arrow,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow,ok,"Yayla atılan, ucunda sivri bir demir bulunan ince ve kısa tahta çubuk"
"tumble, topple","fall down, as if collapsing","düşmek, devrilmek","Ayakta veya dik duran bir şeyi düşmesi, yatay duruma gelmesi"
"frequently, often, oftentimes, oft, ofttimes",many times at short intervals,"sıkça, sık sık",Az aralıklarla
drop,to fall vertically,düşmek,"Yer çekiminin etkisiyle boşlukta, yukarıdan aşağıya inmek"
"mouth, oral cavity, oral fissure, rima oris",the opening through which food is taken in and vocalizations emerge,ağız,"Yüzde, avurtlarla iki çene arasında bulunan, ses çıkarmaya, soluk alıp vermeye yarayan ve besinlerin sindirilmeye başlandığı organ"
"drop, drib, driblet",a small indefinite quantity (especially of a liquid),damla,"Yuvarlak biçimde, çok küçük miktarda sıvı"
drop,let fall to the ground,bırakmak,Elde bulunan bir şeyi tutmaktan vazgeçip tutmaz olmak.
fry,cook on a hot surface using fat,kızartmak,Kızgın yağda pişirmek.
lip,fleshy folds of tissue as those surrounding the mouth,dudak,"Ağzın, dişleri örten ve dışarıya doğru az veya çok kıvrılan üst ve alt kenarlarından her biri"
"destroy, ruin",destroy completely; damage irreparably,"yok etmek, harap etmek, tahrip etmek","ortadan kaldırmak, ifna etmek, izale etmek"
nail,a thin pointed piece of metal that is hammered into materials as a fastener,çivi,"İki şeyi birbirine tutturmak, bir nesneyi bir yere sabitlemek için çakılan, ucu sivri, başlı, metal veya ağaçtan yapılmış ufak çubuk"
